140--0.990329-Brandon Bolden--2.64553e-007
141--0.990329-Brandon Bolden--3.31325e-007
142--0.990369-Doug Martin--0.000826583
143--0.990369-Doug Martin--0.000352572
144--0.990379-Isaiah Pead--0.00264674
145--0.990379-Isaiah Pead--1.61134e-005
146--0.990379-Isaiah Pead--1.19222e-008
147--0.990379-Isaiah Pead--9.39716e-008
148--0.990422-Lamar Miller--0.00980798
149--0.990422-Lamar Miller--0.982149
150--0.990422-Lamar Miller--1.30006e-006
151--0.990422-Lamar Miller--0.0129034
152--0.990579-Ronnie Hillman--1.06873e-006
153--0.990587-Alfred Morris--0.000113898
154--0.990587-Alfred Morris--1.36124e-006
155--0.990587-Alfred Morris--2.25976e-005
156--0.990587-Alfred Morris--0.000349875
157--0.990588-Robert Turbin--0.0237106
158--0.990588-Robert Turbin--3.25673e-005
159--0.990588-Robert Turbin--5.75573e-007
160--0.990588-Robert Turbin--0.00535087
161--0.991023-Bobby Rainey--6.33342e-005
162--0.991023-Bobby Rainey--1.12314e-005
163--0.991023-Bobby Rainey--6.83822e-007
164--0.991023-Bobby Rainey--4.71754e-008
165--0.9911-Jonathan Grimes--2.75856e-006
166--0.9911-Jonathan Grimes--1.08623e-007
167--0.9911-Jonathan Grimes--1.22745e-007
168--0.991108-Daryl Richardson--1.88983e-006
169--0.991108-Daryl Richardson--8.22771e-007
170--0.991108-Daryl Richardson--3.82665e-007
171--0.991467-Lance Dunbar--8.00226e-006
172--0.991467-Lance Dunbar--5.21668e-006
173--0.991467-Lance Dunbar--7.2383e-007
174--0.991467-Lance Dunbar--5.1479e-007
175--0.991538-Travaris Cadet--9.23361e-006
176--0.991538-Travaris Cadet--5.35939e-006
177--0.991538-Travaris Cadet--4.60608e-007
178--0.991538-Travaris Cadet--0.00210584
179--0.991599-Jamize Olawale--0.000926284
180--0.991599-Jamize Olawale--1.93068e-005
181--0.991599-Jamize Olawale--6.48849e-005
182--0.991599-Jamize Olawale--4.49835e-006
183--0.992839-Andre Ellington--1.05437e-007
184--0.992839-Andre Ellington--2.24009e-008
185--0.992839-Andre Ellington--2.8019e-008
186--0.992839-Andre Ellington--4.11741e-007
187--0.992856-Denard Robinson--6.29301e-007
188--0.992856-Denard Robinson--4.29748e-006
189--0.992856-Denard Robinson--2.3162e-006
190--0.992856-Denard Robinson--6.16811e-005
191--0.992858-Rex Burkhead--7.56903e-006
192--0.992858-Rex Burkhead--1.70567e-007
193--0.992858-Rex Burkhead--0.000117337
194--0.992858-Rex Burkhead--3.18016e-005
195--0.992867-Kenjon Barner--6.30774e-007
196--0.992867-Kenjon Barner--5.21736e-005
197--0.992867-Kenjon Barner--4.5748e-009
198--0.992867-Kenjon Barner--3.0041e-006
199--0.992873-Zach Line--1.40605e-005
200--0.992873-Zach Line--5.25189e-005
201--0.992873-Zach Line--4.18967e-006
202--0.992873-Zach Line--6.55175e-009
203--0.992878-Stepfan Taylor--0.000112578
204--0.992878-Stepfan Taylor--0.00033345
205--0.992878-Stepfan Taylor--5.04243e-006
206--0.99288-Christine Michael--0.0171726
207--0.99288-Christine Michael--0.999818
208--0.99288-Christine Michael--7.53843e-007
209--0.99288-Christine Michael--3.72258e-005
210--0.993014-Mike Gillislee--0.0026314
211--0.993014-Mike Gillislee--0.00139623
212--0.993014-Mike Gillislee--0.00296962
213--0.993014-Mike Gillislee--0.960697
214--0.99315-Chris Thompson--5.20462e-008
215--0.99315-Chris Thompson--1.71014e-006
216--0.99315-Chris Thompson--0.000832514
217--0.99315-Chris Thompson--2.46781e-007
218--0.993153-Theo Riddick--0.983728
219--0.993153-Theo Riddick--2.18445e-006
220--0.993153-Theo Riddick--0.00105727
221--0.993153-Theo Riddick--0.977028
222--0.99316-Fozzy Whittaker--0.00103961
223--0.99316-Fozzy Whittaker--2.4548e-008
224--0.99316-Fozzy Whittaker--4.29251e-006
225--0.99316-Fozzy Whittaker--6.42776e-005
226--0.993206-Giovani Bernard--4.3461e-005
227--0.993206-Giovani Bernard--6.19224e-006
228--0.993206-Giovani Bernard--0.000757803
229--0.993206-Giovani Bernard--4.77734e-005
230--0.993211-Eddie Lacy--4.21456e-005
231--0.993211-Eddie Lacy--6.39068e-006
232--0.993211-Eddie Lacy--5.84976e-007
233--0.993211-Eddie Lacy--0.000114313
234--0.993214-Le'Veon Bell--0.984773
235--0.993214-Le'Veon Bell--7.66367e-005
236--0.993214-Le'Veon Bell--0.00857277
237--0.993214-Le'Veon Bell--0.000271
238--0.993215-Knile Davis--1.50445e-005
239--0.993215-Knile Davis--3.19008e-005
240--0.993215-Knile Davis--0.00018762
241--0.993215-Knile Davis--4.88622e-006
242--0.993225-Spencer Ware--0.00576673
243--0.993225-Spencer Ware--0.992083
244--0.993225-Spencer Ware--0.998967
245--0.993225-Spencer Ware--0.000123244
246--0.993235-Kyle Juszczyk--2.6736e-007
247--0.993235-Kyle Juszczyk--1.36501e-007
248--0.993235-Kyle Juszczyk--6.10348e-008
249--0.993235-Kyle Juszczyk--1.11627e-006
250--0.993251-C.J. Anderson--1.2812e-005
251--0.993251-C.J. Anderson--0.00255465
252--0.993251-C.J. Anderson--0.986755
253--0.993251-C.J. Anderson--5.68152e-006
254--0.993599-Latavius Murray--0.0137546
255--0.993599-Latavius Murray--0.00473641
256--0.993599-Latavius Murray--0.999973
257--0.993599-Latavius Murray--0.0151365
258--0.993749-Benny Cunningham--4.00776e-007
259--0.993749-Benny Cunningham--2.13453e-006
260--0.993749-Benny Cunningham--6.1261e-008
261--0.993749-Benny Cunningham--0.000241169
262--0.994534-Ka'Deem Carey--4.26038e-007
263--0.994534-Ka'Deem Carey--0.000339131
264--0.994534-Ka'Deem Carey--0.000603796
265--0.994534-Ka'Deem Carey--1.39065e-007
266--0.994546-Devonta Freeman--0.996324
267--0.994546-Devonta Freeman--2.89529e-006
268--0.994546-Devonta Freeman--0.0156941
269--0.994546-Devonta Freeman--0.999954
270--0.994553-Alfred Blue--0.00134437
271--0.994553-Alfred Blue--5.57821e-005
272--0.994553-Alfred Blue--4.88426e-006
273--0.994553-Alfred Blue--5.28825e-005
274--0.994554-Jeremy Hill--0.0113551
275--0.994554-Jeremy Hill--0.0248842
276--0.994554-Jeremy Hill--0.977905
277--0.994554-Jeremy Hill--0.00545688
278--0.994578-Terrance West--0.000633342
279--0.994578-Terrance West--0.958167
280--0.994578-Terrance West--0.00032336
281--0.994578-Terrance West--0.0141867
282--0.99459-Jay Prosch--1.49353e-005
283--0.99459-Jay Prosch--5.59302e-006
284--0.99459-Jay Prosch--2.0792e-005
285--0.99459-Jay Prosch--5.09583e-005
286--0.994594-Lorenzo Taliaferro--0.000115901
287--0.994598-Jerick McKinnon--6.871e-007
288--0.994598-Jerick McKinnon--1.21326e-005
289--0.994598-Jerick McKinnon--0.00400035
290--0.994598-Jerick McKinnon--4.49156e-008
291--0.994609-Carlos Hyde--0.997973
292--0.994609-Carlos Hyde--1.12604e-007
293--0.994609-Carlos Hyde--0.00353311
294--0.994609-Carlos Hyde--0.000112091
295--0.994619-Charles Sims--7.84877e-007
296--0.994619-Charles Sims--3.27605e-007
297--0.994619-Charles Sims--5.79624e-005
298--0.994619-Charles Sims--2.34388e-005
299--0.994621-James White--0.0616901
300--0.994621-James White--0.906213
301--0.994621-James White--0.0258975
302--0.994621-James White--0.0240117
303--0.997129-Isaiah Crowell--1.1244e-005
304--0.997129-Isaiah Crowell--5.44881e-006
305--0.997129-Isaiah Crowell--0.000857237
306--0.997129-Isaiah Crowell--0.013476
307--0.99716-Charcandrick West--0.000186732
308--0.99716-Charcandrick West--0.000557194
309--0.99716-Charcandrick West--0.000223451
310--0.99716-Charcandrick West--0.0130139
311--0.997241-Antonio Andrews--4.39425e-005
312--0.997241-Antonio Andrews--1.33183e-006
313--0.997241-Antonio Andrews--3.06168e-008
314--0.997241-Antonio Andrews--1.37905e-005
315--0.997243-Orleans Darkwa--6.33946e-006
316--0.997243-Orleans Darkwa--6.31493e-005
317--0.997243-Orleans Darkwa--1.93784e-005
318--0.997243-Orleans Darkwa--8.79543e-008
319--0.997256-Damien Williams--0.000308658
320--0.997256-Damien Williams--2.2259e-005
321--0.997256-Damien Williams--0.000940322
322--0.997256-Damien Williams--0.00827513
323--0.997267-George Atkinson--3.8385e-005
324--0.997267-George Atkinson--2.17626e-007
325--0.997267-George Atkinson--1.94092e-007
326--0.997267-George Atkinson--5.51594e-007
327--0.997267-Kapri Bibbs--5.16284e-005
328--0.997267-Kapri Bibbs--1.62441e-005
329--0.997267-Kapri Bibbs--3.08206e-006
330--0.997267-Kapri Bibbs--1.50375e-006
331--0.997344-Fitzgerald Toussaint--2.74438e-007
332--0.997344-Fitzgerald Toussaint--7.18383e-006
333--0.997344-Fitzgerald Toussaint--6.64452e-007
334--0.997344-Fitzgerald Toussaint--9.33524e-006
335--0.997984-Ameer Abdullah--2.71378e-006
336--0.997984-Ameer Abdullah--1.02991e-006
337--0.997984-Cameron Artis-Payne--0.968769
338--0.997984-Cameron Artis-Payne--1.62061e-006
339--0.997984-Cameron Artis-Payne--0.00182592
340--0.997984-Cameron Artis-Payne--4.0506e-005
341--0.997986-Jeremy Langford--1.0662e-006
342--0.997986-Jeremy Langford--0.00170283
343--0.997986-Jeremy Langford--5.34371e-005
344--0.997987-Malcolm Brown--1.04914e-005
345--0.997987-Malcolm Brown--0.0012886
346--0.997987-Malcolm Brown--4.3776e-006
347--0.997987-Malcolm Brown--3.07297e-008
348--0.998014-Tevin Coleman--0.978465
349--0.998014-Tevin Coleman--2.61025e-007
350--0.998014-Tevin Coleman--0.00151429
351--0.998014-Tevin Coleman--2.35172e-005
352--0.998018-Duke Johnson--0.0186098
353--0.998018-Duke Johnson--0.00943779
354--0.998018-Duke Johnson--3.30781e-005
355--0.998018-Duke Johnson--0.0371764
356--0.998019-Jalston Fowler--4.52565e-006
357--0.998019-Jalston Fowler--6.48661e-005
358--0.998019-Jalston Fowler--3.48379e-006
359--0.998019-Jalston Fowler--4.13796e-006
360--0.998021-Melvin Gordon--0.0156924
361--0.998021-Melvin Gordon--0.0126948
362--0.998021-Melvin Gordon--0.984487
363--0.998021-Melvin Gordon--0.986795
364--0.998022-T.J. Yeldon--1.13656e-005
365--0.998022-T.J. Yeldon--9.41095e-005
366--0.998022-T.J. Yeldon--0.0144423
367--0.998022-T.J. Yeldon--0.000213458
368--0.998023-Todd Gurley--0.00678874
369--0.998023-Todd Gurley--5.92835e-005
370--0.998023-Todd Gurley--7.73284e-007
371--0.998023-Todd Gurley--0.00161008
372--0.998024-Aaron Ripkowski--6.95005e-005
373--0.998024-Aaron Ripkowski--0.00169156
374--0.998024-Aaron Ripkowski--0.000366376
375--0.998065-Jay Ajayi--0.0121715
376--0.998065-Jay Ajayi--0.974183
377--0.998065-Jay Ajayi--0.987092
378--0.998065-Jay Ajayi--0.0141538
379--0.998084-Javorius Allen--3.60425e-008
380--0.998084-Javorius Allen--0.000445566
381--0.998084-Javorius Allen--2.44026e-006
382--0.998084-Javorius Allen--0.000103629
383--0.998086-Matt Jones--8.02749e-007
384--0.998086-Matt Jones--0.978598
385--0.998086-Matt Jones--4.82924e-010
386--0.998086-Matt Jones--0.000955776
387--0.99809-Marcus Murphy--2.89089e-007
388--0.998398-David Johnson--1
389--0.998398-David Johnson--1
390--0.998398-David Johnson--0.999586
391--0.998398-David Johnson--0.00721177
392--0.9984-Mike Davis--7.26564e-006
393--0.9984-Mike Davis--5.38842e-005
394--0.9984-Mike Davis--7.56083e-006
395--0.9984-Mike Davis--1.02876e-007
396--0.998403-Malcolm Johnson--1.45203e-005
397--0.998403-Malcolm Johnson--1.73065e-005
398--0.998403-Malcolm Johnson--2.4021e-008
399--0.998403-Malcolm Johnson--7.90232e-008
400--0.998475-Zach Zenner--5.05433e-005
401--0.998475-Zach Zenner--0.00644522
402--0.998475-Zach Zenner--7.41229e-009
403--0.998475-Zach Zenner--5.43373e-007
404--0.998483-Corey Grant--2.10353e-005
405--0.998483-Corey Grant--2.36167e-007
406--0.998483-Corey Grant--4.73146e-007
407--0.998483-Corey Grant--6.73646e-007
408--0.998515-Thomas Rawls--0.00347937
409--0.998515-Thomas Rawls--0.00101316
410--0.998519-Rod Smith--3.23658e-006
411--0.998519-Rod Smith--2.19404e-008
412--0.998519-Rod Smith--4.4708e-006
413--0.998519-Rod Smith--3.72063e-005
414--0.999096-Daniel Lasco--3.70099e-006
